TPS,420.259182,831.228593,1254.278658,1489.654720,1945.816786,3218.757373
Average Latency (ms),4.759,4.812,4.784,5.370,5.139,31.068
Initial Connection Time (ms),50.995,97.933,119.022,187.211,217.367,1510.033
Number of Clients,2,4,6,8,10,100
Number of Threads,2,4,4,4,4,4
Transactions Per Client,500,500,500,500,500,500
Total Transactions Processed,1000/1000,2000/2000,3000/3000,4000/4000,5000/5000,50000/50000
