TPS,202.262304,2096.363543,517.836355,3301.000038,3294.905944,5077.715451
Average Latency (ms),9.888,1.908,11.587,2.424,3.035,19.694
Initial Connection Time (ms),41.832,81.851,103.324,150.486,155.568,1708.634
Number of Clients,2,4,6,8,10,100
Number of Threads,2,4,4,4,4,4
Transactions Per Client,500,500,500,500,500,500
Total Transactions Processed,1000/1000,2000/2000,3000/3000,4000/4000,5000/5000,50000/50000
