TPS,257.578076,510.026743,679.387826,865.462174,1127.683803,3065.216590
Average Latency (ms),7.765,7.843,8.831,9.244,8.868,32.624
Initial Connection Time (ms),21.351,47.883,92.020,109.738,120.985,1367.449
Number of Clients,2,4,6,8,10,100
Number of Threads,2,4,4,4,4,4
Transactions Per Client,500,500,500,500,500,500
Total Transactions Processed,1000/1000,2000/2000,3000/3000,4000/4000,5000/5000,50000/50000
