TPS,593.452791,1148.088490,1693.799452,2068.761495,2450.638024,3450.235358
Average Latency (ms),3.370,3.484,3.542,3.867,4.081,28.984
Initial Connection Time (ms),34.427,61.133,50.587,82.073,91.960,837.461
Number of Clients,2,4,6,8,10,100
Number of Threads,2,4,4,4,4,4
Transactions Per Client,500,500,500,500,500,500
Total Transactions Processed,1000/1000,2000/2000,3000/3000,4000/4000,5000/5000,50000/50000
