TPS,676.790551,1632.566435,2428.614912,3643.292516,4487.500516,15772.815930
Average Latency (ms),2.955,2.450,2.471,2.196,2.228,6.340
Initial Connection Time (ms),18.570,28.622,49.392,53.956,62.794,701.934
Number of Clients,2,4,6,8,10,100
Number of Threads,2,4,4,4,4,4
Transactions Per Client,500,500,500,500,500,500
Total Transactions Processed,1000/1000,2000/2000,3000/3000,4000/4000,5000/5000,50000/50000
